Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,22,20,"1,777",19.7,0,1,1,0,0,0,2,0,1.4,1.4,0.7,2.1,38,103,87,0,0.05,0.05,0,0.05,0.07,0.04,0.11,0.07,0.11,Matches
2,Tammy Abraham,eng ENG,FW,Chelsea,22,1997,22,12,"1,040",11.6,6,1,7,6,0,0,0,0,5.9,5.9,0.7,6.6,12,11,66,0.52,0.09,0.61,0.52,0.61,0.51,0.06,0.57,0.51,0.57,Matches
3,Che Adams,sct SCO,FW,Southampton,24,1996,36,30,"2,667",29.6,9,5,14,9,0,0,1,0,9.8,9.8,5,14.8,32,57,149,0.3,0.17,0.47,0.3,0.47,0.33,0.17,0.5,0.33,0.5,Matches
4,Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,33,33,"2,953",32.8,0,0,0,0,0,0,1,0,1.1,1.1,0.3,1.4,5,75,3,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches
5,Adrián,es ESP,GK,Liverpool,33,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Sergio Agüero,ar ARG,FW,Manchester City,32,1988,12,7,559,6.2,4,1,5,3,1,2,0,0,3.5,1.9,1.2,3.1,12,12,39,0.64,0.16,0.81,0.48,0.64,0.56,0.19,0.75,0.31,0.5,Matches
7,Ola Aina,ng NGA,DF,Fulham,23,1996,31,31,"2,664",29.6,2,1,3,2,0,0,3,0,1.2,1.2,1.5,2.8,63,106,50,0.07,0.03,0.1,0.07,0.1,0.04,0.05,0.09,0.04,0.09,Matches
8,Rayan Aït-Nouri,dz ALG,DF,Wolves,19,2001,21,16,"1,404",15.6,1,1,2,1,0,0,1,0,0.6,0.6,0.6,1.2,47,54,85,0.06,0.06,0.13,0.06,0.13,0.04,0.04,0.08,0.04,0.08,Matches
9,Semi Ajayi,ng NGA,DF,West Brom,26,1993,33,31,"2,780",30.9,2,0,2,2,0,0,3,1,1.9,1.9,0.5,2.4,13,73,7,0.06,0,0.06,0.06,0.06,0.06,0.02,0.08,0.06,0.08,Matches
10,Nathan Aké,nl NED,DF,Manchester City,25,1995,10,9,797,8.9,1,0,1,1,0,0,4,0,0.3,0.3,0,0.3,12,52,6,0.11,0,0.11,0.11,0.11,0.03,0,0.03,0.03,0.03,Matches
11,Marc Albrighton,eng ENG,"DF,FW",Leicester City,30,1989,31,17,"1,746",19.4,1,5,6,1,0,0,2,0,1.2,1.2,3.5,4.7,46,84,139,0.05,0.26,0.31,0.05,0.31,0.06,0.18,0.24,0.06,0.24,Matches
12,Thiago Alcántara,es ESP,MF,Liverpool,29,1991,24,20,"1,854",20.6,1,0,1,1,0,0,4,0,1.2,1.2,2.3,3.5,27,203,25,0.05,0,0.05,0.05,0.05,0.06,0.11,0.17,0.06,0.17,Matches
13,Toby Alderweireld,be BEL,DF,Tottenham,31,1989,25,25,"2,240",24.9,1,0,1,1,0,0,2,0,0.7,0.7,0.7,1.4,3,59,1,0.04,0,0.04,0.04,0.04,0.03,0.03,0.06,0.03,0.06,Matches
14,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,36,34,"3,031",33.7,2,7,9,2,0,0,2,0,2.6,2.6,8.6,11.2,98,251,249,0.06,0.21,0.27,0.06,0.27,0.08,0.26,0.33,0.08,0.33,Matches
16,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,28,1992,36,29,"2,461",27.3,2,3,5,2,0,0,7,0,1.6,1.6,3.3,4.9,77,132,122,0.07,0.11,0.18,0.07,0.18,0.06,0.12,0.18,0.06,0.18,Matches
