Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,26,1990,28,25,"2,184",24.3,5,1,6,5,0,0,7,0,3.1,3.1,2.1,5.2,46,92,86,0.21,0.04,0.25,0.21,0.25,0.13,0.09,0.21,0.13,0.21,Matches
2,Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,21,1995,4,1,139,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,7,3,4,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
3,Tammy Abraham,eng ENG,FW,Swansea City,19,1997,31,15,"1,726",19.2,5,1,6,5,0,0,0,0,6.8,6.8,1.6,8.4,19,20,104,0.26,0.05,0.31,0.26,0.31,0.35,0.08,0.44,0.35,0.44,Matches
4,Charlie Adam,sct SCO,MF,Stoke City,31,1985,11,5,411,4.6,0,0,0,0,0,1,2,1,1.6,0.9,1.2,2.1,6,30,9,0.00,0.00,0.00,0.00,0.00,0.36,0.27,0.63,0.19,0.46,Matches
5,Adrián,es ESP,GK,West Ham,30,1987,19,19,"1,710",19.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Ibrahim Afellay,nl NED,MF,Stoke City,31,1986,6,1,166,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
7,Benik Afobe,cd COD,FW,Bournemouth,24,1993,17,5,611,6.8,0,0,0,0,0,0,0,0,1.6,1.6,0.1,1.8,12,9,37,0.00,0.00,0.00,0.00,0.00,0.27,0.02,0.30,0.27,0.30,Matches
8,Sergio Agüero,ar ARG,FW,Manchester City,29,1988,25,22,"1,963",21.8,21,6,27,17,4,4,2,0,16.2,13.1,5.6,18.7,89,49,214,0.96,0.28,1.24,0.78,1.05,0.75,0.26,1.00,0.60,0.86,Matches
9,Nathan Aké,nl NED,DF,Bournemouth,22,1995,38,37,"3,353",37.3,2,3,5,2,0,0,5,0,1.4,1.4,1.9,3.4,14,96,10,0.05,0.08,0.13,0.05,0.13,0.04,0.05,0.09,0.04,0.09,Matches
10,Marc Albrighton,eng ENG,"MF,FW",Leicester City,27,1989,34,30,"2,538",28.2,2,7,9,2,0,0,5,1,1.6,1.6,5.7,7.3,64,114,162,0.07,0.25,0.32,0.07,0.32,0.06,0.20,0.26,0.06,0.26,Matches
11,Toby Alderweireld,be BEL,DF,Tottenham,28,1989,14,13,"1,178",13.1,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.5,12,109,5,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
12,Trent Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,19,18,"1,573",17.5,1,1,2,1,0,0,3,0,1.0,1.0,2.6,3.6,39,94,126,0.06,0.06,0.11,0.06,0.11,0.05,0.15,0.21,0.05,0.21,Matches
13,Joe Allen,wls WAL,MF,Stoke City,27,1990,36,36,"3,139",34.9,2,6,8,2,0,0,8,0,1.8,1.8,2.8,4.6,37,165,89,0.06,0.17,0.23,0.06,0.23,0.05,0.08,0.13,0.05,0.13,Matches
14,Dele Alli,eng ENG,"MF,FW",Tottenham,21,1996,36,34,"2,958",32.9,9,10,19,9,0,0,7,0,9.1,9.1,8.2,17.3,100,181,359,0.27,0.30,0.58,0.27,0.58,0.28,0.25,0.53,0.28,0.53,Matches
15,Marcos Alonso,es ESP,"DF,MF",Chelsea,26,1990,33,33,"2,855",31.7,7,2,9,7,0,0,6,0,4.1,4.1,2.8,7.0,78,103,261,0.22,0.06,0.28,0.22,0.28,0.13,0.09,0.22,0.13,0.22,Matches
16,Daniel Amartey,gh GHA,DF,Leicester City,22,1994,8,6,487,5.4,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,5,14,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
17,Ethan Ampadu,wls WAL,DF,Chelsea,16,2000,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
18,Nordin Amrabat,ma MAR,FW,Watford,30,1987,3,3,198,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,7,22,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.09,0.02,0.09,Matches
19,Michail Antonio,jm JAM,"FW,MF",West Ham,27,1990,21,16,"1,354",15.0,3,1,4,3,0,0,1,0,2.4,2.4,1.0,3.4,47,29,117,0.20,0.07,0.27,0.20,0.27,0.16,0.07,0.23,0.16,0.23,Matches
20,Scott Arfield,ca CAN,"MF,FW",Burnley,28,1988,18,15,"1,333",14.8,2,1,3,2,0,0,3,0,1.3,1.3,0.4,1.6,16,32,47,0.14,0.07,0.20,0.14,0.20,0.08,0.02,0.11,0.08,0.11,Matches
21,Marko Arnautović,at AUT,"FW,MF",West Ham,28,1989,31,28,"2,313",25.7,11,6,17,11,0,0,5,1,8.6,8.6,4.3,13.0,76,52,232,0.43,0.23,0.66,0.43,0.66,0.34,0.17,0.50,0.34,0.50,Matches
22,Harry Arter,ie IRL,MF,Bournemouth,27,1989,13,11,960,10.7,1,0,1,1,0,0,4,0,0.3,0.3,0.2,0.5,14,68,8,0.09,0.00,0.09,0.09,0.09,0.03,0.02,0.05,0.03,0.05,Matches
23,Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,25,1992,28,19,"1,784",19.8,2,2,4,2,0,0,1,0,4.0,4.0,2.6,6.7,70,47,125,0.10,0.10,0.20,0.10,0.20,0.20,0.13,0.34,0.20,0.34,Matches
24,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,28,1989,13,12,"1,057",11.7,10,4,14,9,1,2,0,0,8.4,6.8,1.1,8.0,31,9,85,0.85,0.34,1.19,0.77,1.11,0.71,0.10,0.81,0.58,0.68,Matches
25,Serge Aurier,ci CIV,DF,Tottenham,24,1992,17,16,"1,429",15.9,2,2,4,2,0,0,2,2,0.8,0.8,2.6,3.4,32,67,152,0.13,0.13,0.25,0.13,0.25,0.05,0.16,0.21,0.05,0.21,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Charlie Austin,eng ENG,FW,Southampton,28,1989,24,10,"1,037",11.5,7,0,7,6,1,1,2,0,7.1,6.3,0.8,7.1,5,18,67,0.61,0.00,0.61,0.52,0.52,0.62,0.07,0.68,0.55,0.61,Matches
27,André Ayew,gh GHA,"MF,FW",West Ham,27,1989,18,9,895,9.9,3,2,5,3,0,1,2,0,3.3,2.5,0.3,2.9,18,18,43,0.30,0.20,0.50,0.30,0.50,0.33,0.03,0.37,0.25,0.29,Matches
28,André Ayew,gh GHA,"MF,FW",Swansea City,27,1989,12,10,950,10.6,0,2,2,0,0,0,3,0,1.9,1.9,1.3,3.2,16,24,53,0.00,0.19,0.19,0.00,0.19,0.18,0.13,0.30,0.18,0.30,Matches
29,Jordan Ayew,gh GHA,"FW,MF",Swansea City,25,1991,36,33,"2,852",31.7,7,2,9,6,1,1,2,1,7.3,6.5,2.0,8.5,76,50,232,0.22,0.06,0.28,0.19,0.25,0.23,0.06,0.29,0.20,0.27,Matches
30,César Azpilicueta,es ESP,DF,Chelsea,27,1989,37,37,"3,330",37.0,2,6,8,2,0,0,1,0,1.3,1.3,4.8,6.1,61,240,81,0.05,0.16,0.22,0.05,0.22,0.03,0.13,0.16,0.03,0.16,Matches
31,Eric Bailly,ci CIV,DF,Manchester Utd,23,1994,13,11,"1,001",11.1,1,0,1,1,0,0,2,0,1.1,1.1,0.2,1.3,3,26,0,0.09,0.00,0.09,0.09,0.09,0.10,0.01,0.11,0.10,0.11,Matches
32,Leighton Baines,eng ENG,DF,Everton,32,1984,22,22,"1,909",21.2,2,3,5,0,2,2,1,0,2.1,0.5,1.9,2.5,31,84,61,0.09,0.14,0.24,0.00,0.14,0.10,0.09,0.19,0.02,0.12,Matches
33,Tiemoué Bakayoko,fr FRA,MF,Chelsea,22,1994,29,24,"2,126",23.6,2,2,4,2,0,0,4,2,3.2,3.2,1.2,4.4,39,123,57,0.08,0.08,0.17,0.08,0.17,0.13,0.05,0.18,0.13,0.18,Matches
34,Sam Baldock,eng ENG,FW,Brighton,28,1989,2,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
35,Beni Baningime,cd COD,MF,Everton,18,1998,8,1,198,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,11,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
36,Phil Bardsley,sct SCO,DF,Burnley,32,1985,13,13,"1,125",12.5,0,0,0,0,0,0,5,0,0.0,0.0,0.3,0.3,7,53,7,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.03,Matches
37,Ross Barkley,eng ENG,MF,Chelsea,23,1993,2,2,129,1.4,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,7,4,13,0.00,0.00,0.00,0.00,0.00,0.53,0.07,0.60,0.53,0.60,Matches
38,Ashley Barnes,eng ENG,FW,Burnley,27,1989,36,21,"2,165",24.1,9,0,9,9,0,0,10,0,6.7,6.7,1.6,8.3,17,34,127,0.37,0.00,0.37,0.37,0.37,0.28,0.07,0.34,0.28,0.34,Matches
39,Harvey Barnes,eng ENG,"MF,FW",Leicester City,19,1997,3,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.64,0.64,0.64,Matches
40,Gareth Barry,eng ENG,MF,West Brom,36,1981,25,22,"1,923",21.4,1,1,2,1,0,0,4,0,1.6,1.6,1.4,3.0,20,126,23,0.05,0.05,0.09,0.05,0.09,0.07,0.07,0.14,0.07,0.14,Matches
41,Kyle Bartley,eng ENG,DF,Swansea City,26,1991,5,2,235,2.6,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,2,7,0,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.16,0.05,0.16,Matches
42,Michy Batshuayi,be BEL,FW,Chelsea,23,1993,12,3,360,4.0,2,1,3,2,0,0,0,0,1.1,1.1,0.1,1.2,9,8,32,0.50,0.25,0.75,0.50,0.75,0.28,0.02,0.30,0.28,0.30,Matches
43,Moritz Bauer,at AUT,"DF,MF",Stoke City,25,1992,15,15,"1,306",14.5,0,0,0,0,0,0,4,0,0.2,0.2,0.9,1.1,25,19,45,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.08,0.01,0.08,Matches
44,Jan Bednarek,pl POL,DF,Southampton,21,1996,5,5,426,4.7,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,0,14,0,0.21,0.00,0.21,0.21,0.21,0.03,0.00,0.03,0.03,0.03,Matches
45,Asmir Begović,ba BIH,GK,Bournemouth,30,1987,38,38,"3,420",38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
46,Héctor Bellerín,es ESP,DF,Arsenal,22,1995,35,34,"3,051",33.9,2,3,5,2,0,0,5,0,2.2,2.2,3.9,6.2,84,134,333,0.06,0.09,0.15,0.06,0.15,0.07,0.12,0.18,0.07,0.18,Matches
47,Yohan Benalouane,tn TUN,DF,Leicester City,30,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,4,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
48,Christian Benteke,be BEL,FW,Crystal Palace,26,1990,31,24,"2,240",24.9,3,5,8,2,1,2,6,0,10.2,8.6,2.9,11.5,18,42,133,0.12,0.20,0.32,0.08,0.28,0.41,0.12,0.53,0.34,0.46,Matches
49,Saido Berahino,bi BDI,FW,Stoke City,23,1993,15,3,494,5.5,0,1,1,0,0,1,0,0,2.0,1.2,0.6,1.8,6,9,30,0.00,0.18,0.18,0.00,0.18,0.37,0.11,0.47,0.22,0.33,Matches
50,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,26,1990,35,32,"2,833",31.5,2,8,10,2,0,0,2,0,3.5,3.5,4.7,8.2,83,75,192,0.06,0.25,0.32,0.06,0.32,0.11,0.15,0.26,0.11,0.26,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Ryan Bertrand,eng ENG,DF,Southampton,27,1989,35,35,"3,135",34.8,0,4,4,0,0,0,2,0,1.7,1.7,3.1,4.8,89,174,213,0.00,0.11,0.11,0.00,0.11,0.05,0.09,0.14,0.05,0.14,Matches
52,Muhamed Bešić,ba BIH,MF,Everton,24,1992,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches
53,Philip Billing,dk DEN,MF,Huddersfield,21,1996,16,8,764,8.5,0,0,0,0,0,0,3,0,0.2,0.2,0.5,0.7,12,26,13,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.02,0.08,Matches
54,Mame Biram Diouf,sn SEN,"FW,DF",Stoke City,29,1987,35,30,"2,596",28.8,6,2,8,6,0,0,6,0,6.5,6.5,1.9,8.4,38,43,172,0.21,0.07,0.28,0.21,0.28,0.22,0.07,0.29,0.22,0.29,Matches
55,Daley Blind,nl NED,"DF,MF",Manchester Utd,27,1990,7,4,362,4.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,9,23,22,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
56,Jeremie Boga,ci CIV,MF,Chelsea,20,1997,1,1,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
57,Yannick Bolasie,cd COD,FW,Everton,28,1989,16,11,851,9.5,1,0,1,1,0,0,0,0,1.5,1.5,0.7,2.3,39,20,52,0.11,0.00,0.11,0.11,0.11,0.16,0.08,0.24,0.16,0.24,Matches
58,Gaëtan Bong,cm CMR,DF,Brighton,29,1988,25,25,"2,236",24.8,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.6,50,85,32,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
59,Wilfried Bony,ci CIV,FW,Swansea City,28,1988,15,8,707,7.9,2,0,2,2,0,0,2,0,1.6,1.6,0.2,1.8,7,11,41,0.25,0.00,0.25,0.25,0.25,0.20,0.03,0.23,0.20,0.23,Matches
60,Sofiane Boufal,ma MAR,"FW,MF",Southampton,23,1993,26,11,"1,219",13.5,2,2,4,2,0,0,1,0,1.7,1.7,1.8,3.4,78,76,114,0.15,0.15,0.30,0.15,0.30,0.12,0.13,0.25,0.12,0.25,Matches
61,Robbie Brady,ie IRL,MF,Burnley,25,1992,15,15,"1,277",14.2,1,2,3,1,0,0,3,0,1.2,1.2,2.1,3.3,32,54,67,0.07,0.14,0.21,0.07,0.21,0.08,0.15,0.23,0.08,0.23,Matches
62,Claudio Bravo,cl CHI,GK,Manchester City,34,1983,3,2,226,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
63,Miguel Britos,uy URU,DF,Watford,32,1985,12,10,797,8.9,1,0,1,1,0,0,3,1,0.8,0.8,0.4,1.2,5,43,4,0.11,0.00,0.11,0.11,0.11,0.09,0.05,0.14,0.09,0.14,Matches
64,Leon Britton,eng ENG,MF,Swansea City,34,1982,5,4,302,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
65,Izzy Brown,eng ENG,"MF,FW",Brighton,20,1997,13,4,311,3.5,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,9,9,22,0.00,0.00,0.00,0.00,0.00,0.02,0.24,0.26,0.02,0.26,Matches
