Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Gary Ablett,eng ENG,DF,Everton,26,1965,40,40,"3,600",40,0,2,2,0,0,0,6,0,0,0.05,0.05,0,0.05,Matches
2,Micky Adams,eng ENG,DF,Southampton,30,1961,38,38,"3,245",36.1,4,3,7,4,0,0,6,1,0.11,0.08,0.19,0.11,0.19,Matches
3,Neil Adams,eng ENG,MF,Oldham Athletic,26,1965,32,26,"2,454",27.3,8,2,10,7,1,2,2,0,0.29,0.07,0.37,0.26,0.33,Matches
4,Tony Adams,eng ENG,DF,Arsenal,25,1966,35,33,"3,005",33.4,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
5,Derek Allan,,DF,Southampton,17,1974,1,0,11,0.1,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
6,Bradley Allen,eng ENG,FW,QPR,20,1971,25,21,"2,044",22.7,10,4,14,10,0,0,0,0,0.44,0.18,0.62,0.44,0.62,Matches
7,Paul Allen,eng ENG,MF,Tottenham,29,1962,38,38,"3,412",37.9,3,2,5,3,0,0,1,0,0.08,0.05,0.13,0.08,0.13,Matches
8,Joe Allon,eng ENG,FW,Chelsea,25,1966,3,1,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Viv Anderson,eng ENG,DF,Sheffield Weds,36,1956,26,24,"2,099",23.3,3,0,3,3,0,0,3,0,0.13,0,0.13,0.13,0.13,Matches
10,Patrik Andersson,se SWE,DF,Blackburn,20,1971,11,6,455,5.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
11,Darren Anderton,eng ENG,MF,Tottenham,20,1972,34,32,"2,774",30.8,6,11,17,6,0,0,0,0,0.19,0.36,0.55,0.19,0.55,Matches
12,Steve Anthrobus,eng ENG,FW,Wimbledon,23,1968,5,4,401,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
13,Neal Ardley,eng ENG,MF,Wimbledon,19,1972,26,24,"2,140",23.8,4,7,11,4,0,0,1,0,0.17,0.29,0.46,0.17,0.46,Matches
14,Chris Armstrong,eng ENG,FW,Crystal Palace,21,1971,35,35,"3,104",34.5,15,2,17,15,0,1,3,1,0.43,0.06,0.49,0.43,0.49,Matches
15,Peter Atherton,eng ENG,"DF,MF",Coventry City,22,1970,39,39,"3,510",39,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
16,Mark Atkins,eng ENG,"DF,MF",Blackburn,23,1968,31,24,"2,341",26,5,3,8,5,0,0,1,0,0.19,0.12,0.31,0.19,0.31,Matches
17,Dalian Atkinson,eng ENG,FW,Aston Villa,24,1968,28,28,"2,512",27.9,11,4,15,11,0,0,1,0,0.39,0.14,0.54,0.39,0.54,Matches
18,Dean Austin,eng ENG,DF,Tottenham,22,1970,34,33,"2,988",33.2,0,1,1,0,0,0,5,0,0,0.03,0.03,0,0.03,Matches
19,Phil Babb,ie IRL,DF,Coventry City,21,1970,34,27,"2,580",28.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
20,Dennis Bailey,eng ENG,FW,QPR,26,1965,15,13,"1,145",12.7,1,1,2,1,0,0,0,0,0.08,0.08,0.16,0.08,0.16,Matches
21,Clive Baker,,GK,Ipswich Town,33,1959,31,30,"2,705",30.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Nicky Banger,eng ENG,FW,Southampton,21,1971,27,10,"1,412",15.7,6,4,10,6,0,0,0,0,0.38,0.25,0.64,0.38,0.64,Matches
23,Gary Bannister,eng ENG,FW,Nott'ham Forest,32,1960,31,27,"2,531",28.1,8,2,10,8,0,0,1,0,0.28,0.07,0.36,0.28,0.36,Matches
24,David Bardsley,eng ENG,DF,QPR,27,1964,40,40,"3,563",39.6,3,7,10,3,0,0,3,0,0.08,0.18,0.25,0.08,0.25,Matches
25,Simon Barker,eng ENG,MF,QPR,27,1964,25,21,"1,944",21.6,1,1,2,1,0,0,1,0,0.05,0.05,0.09,0.05,0.09,Matches
26,Andy Barlow,,DF,Oldham Athletic,26,1965,6,6,499,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
27,Stuart Barlow,eng ENG,FW,Everton,24,1968,26,8,615,6.8,5,1,6,5,0,0,0,0,0.73,0.15,0.88,0.73,0.88,Matches
28,Nick Barmby,eng ENG,"FW,MF",Tottenham,18,1974,22,17,"1,601",17.8,6,3,9,6,0,0,0,0,0.34,0.17,0.51,0.34,0.51,Matches
29,Darren Barnard,wls WAL,"DF,MF",Chelsea,20,1971,13,8,734,8.2,1,2,3,1,0,0,0,0,0.12,0.25,0.37,0.12,0.37,Matches
30,David Barnes,eng ENG,DF,Sheffield Utd,30,1961,13,13,"1,170",13,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
31,John Barnes,eng ENG,"DF,FW",Liverpool,28,1963,27,26,"2,414",26.8,5,6,11,4,1,1,0,0,0.19,0.22,0.41,0.15,0.37,Matches
32,Anthony Barness,eng ENG,DF,Chelsea,19,1973,2,2,175,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Earl Barrett,eng ENG,DF,Aston Villa,25,1967,42,42,"3,780",42,1,2,3,1,0,0,3,0,0.02,0.05,0.07,0.02,0.07,Matches
34,Chris Bart-Williams,eng ENG,"DF,MF",Sheffield Weds,18,1974,34,21,"2,412",26.8,6,2,8,6,0,0,0,0,0.22,0.07,0.3,0.22,0.3,Matches
35,Neal Bartlett,eng ENG,MF,Southampton,17,1975,1,0,20,0.2,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
36,Warren Barton,eng ENG,DF,Wimbledon,23,1969,23,23,"2,070",23,2,0,2,2,0,0,2,0,0.09,0,0.09,0.09,0.09,Matches
37,David Batty,eng ENG,MF,Leeds United,23,1968,30,30,"2,518",28,1,2,3,1,0,0,7,0,0.04,0.07,0.11,0.04,0.11,Matches
38,Peter Beagrie,eng ENG,FW,Everton,26,1965,22,11,"1,144",12.7,3,0,3,3,0,0,2,0,0.24,0,0.24,0.24,0.24,Matches
39,Peter Beardsley,eng ENG,"FW,MF",Everton,31,1961,39,39,"3,488",38.8,10,7,17,6,4,4,0,0,0.26,0.18,0.44,0.15,0.34,Matches
40,Dave Beasant,eng ENG,GK,Chelsea,33,1959,17,17,"1,530",17,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
41,Darren Beckford,eng ENG,FW,Norwich City,25,1967,8,7,546,6.1,1,0,1,1,0,0,0,0,0.16,0,0.16,0.16,0.16,Matches
42,Darren Beckford,eng ENG,FW,Oldham Athletic,25,1967,7,6,545,6.1,3,1,4,3,0,0,1,0,0.5,0.17,0.66,0.5,0.66,Matches
