Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,27,1990,36,36,"3,195",35.5,3,2,5,3,0,0,3,0,2.6,2.6,4.4,7,89,212,106,0.08,0.06,0.14,0.08,0.14,0.07,0.12,0.2,0.07,0.2,Matches
2,Sergio Agüero,ar ARG,FW,Manchester City,30,1988,33,31,"2,459",27.3,21,8,29,19,2,2,4,0,18.1,16.5,5,21.5,81,76,253,0.77,0.29,1.06,0.7,0.99,0.66,0.18,0.85,0.6,0.79,Matches
3,Nathan Aké,nl NED,DF,Bournemouth,23,1995,38,38,"3,411",37.9,4,0,4,4,0,0,3,0,3.4,3.4,1,4.4,20,98,25,0.11,0,0.11,0.11,0.11,0.09,0.03,0.11,0.09,0.11,Matches
4,Marc Albrighton,eng ENG,"FW,MF",Leicester City,28,1989,27,18,"1,625",18.1,2,2,4,2,0,0,3,0,1.2,1.2,2.9,4.1,54,64,172,0.11,0.11,0.22,0.11,0.22,0.07,0.16,0.23,0.07,0.23,Matches
5,Toby Alderweireld,be BEL,DF,Tottenham,29,1989,34,33,"2,922",32.5,0,0,0,0,0,0,3,0,1.1,1.1,0.6,1.8,25,161,5,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
6,Trent Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,29,27,"2,462",27.4,1,12,13,1,0,0,3,0,1.6,1.6,6.3,7.9,70,157,174,0.04,0.44,0.48,0.04,0.48,0.06,0.23,0.29,0.06,0.29,Matches
7,Alisson,br BRA,GK,Liverpool,25,1992,38,38,"3,420",38,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Dele Alli,eng ENG,MF,Tottenham,22,1996,25,22,"1,825",20.3,5,3,8,5,0,0,4,0,4.8,4.8,3.1,7.9,48,111,153,0.25,0.15,0.39,0.25,0.39,0.23,0.15,0.39,0.23,0.39,Matches
9,Miguel Almirón,py PAR,MF,Newcastle Utd,24,1994,10,9,759,8.4,0,0,0,0,0,0,0,0,1.5,1.5,0.6,2.1,31,25,45,0,0,0,0,0,0.18,0.07,0.25,0.17,0.24,Matches
10,Marcos Alonso,es ESP,DF,Chelsea,27,1990,31,31,"2,759",30.7,2,4,6,2,0,0,6,0,3.4,3.4,3.4,6.8,102,146,230,0.07,0.13,0.2,0.07,0.2,0.11,0.11,0.22,0.11,0.22,Matches
11,Daniel Amartey,gh GHA,DF,Leicester City,23,1994,9,7,641,7.1,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.5,8,34,8,0,0,0,0,0,0.05,0.02,0.06,0.05,0.06,Matches
12,Luke Amos,eng ENG,MF,Tottenham,21,1997,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Felipe Anderson,br BRA,"MF,FW",West Ham,25,1993,36,36,"3,043",33.8,9,4,13,9,0,0,3,0,5.5,5.5,6.1,11.5,201,191,253,0.27,0.12,0.38,0.27,0.38,0.16,0.18,0.34,0.16,0.34,Matches
14,Florin Andone,ro ROU,FW,Brighton,25,1993,23,8,881,9.8,3,0,3,3,0,0,5,0,2.5,2.5,0.1,2.6,13,4,62,0.31,0,0.31,0.31,0.31,0.25,0.01,0.26,0.25,0.26,Matches
15,Michail Antonio,jm JAM,"MF,FW",West Ham,28,1990,33,22,"2,103",23.4,6,4,10,6,0,0,3,0,7.1,7.1,4.4,11.5,87,69,204,0.26,0.17,0.43,0.26,0.43,0.3,0.19,0.49,0.3,0.49,Matches
16,Stuart Armstrong,sct SCO,MF,Southampton,26,1992,29,16,"1,432",15.9,3,2,5,3,0,0,2,0,2,2,1.5,3.4,40,86,90,0.19,0.13,0.31,0.19,0.31,0.12,0.09,0.22,0.12,0.22,Matches
17,Marko Arnautović,at AUT,FW,West Ham,29,1989,28,24,"1,990",22.1,10,4,14,9,1,1,3,0,8.9,8.1,4.4,12.5,38,43,195,0.45,0.18,0.63,0.41,0.59,0.4,0.2,0.6,0.37,0.56,Matches
18,Kepa Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,36,"3,240",36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
19,Harry Arter,ie IRL,MF,Cardiff City,28,1989,25,24,"1,997",22.2,0,1,1,0,0,0,10,0,0.9,0.9,0.5,1.4,13,73,23,0,0.05,0.05,0,0.05,0.04,0.02,0.06,0.04,0.06,Matches
20,Christian Atsu,gh GHA,MF,Newcastle Utd,26,1992,28,15,"1,493",16.6,1,0,1,1,0,0,2,0,2.1,2.1,1.6,3.7,48,31,72,0.06,0,0.06,0.06,0.06,0.13,0.09,0.22,0.13,0.22,Matches
21,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,29,1989,36,30,"2,726",30.3,22,5,27,18,4,5,0,0,22.5,18.5,4.2,22.7,82,70,228,0.73,0.17,0.89,0.59,0.76,0.74,0.14,0.88,0.61,0.75,Matches
22,Serge Aurier,ci CIV,DF,Tottenham,25,1992,8,6,564,6.3,0,2,2,0,0,0,1,0,0.1,0.1,1,1.1,11,26,29,0,0.32,0.32,0,0.32,0.02,0.16,0.18,0.02,0.18,Matches
23,Charlie Austin,eng ENG,FW,Southampton,29,1989,25,11,983,10.9,2,2,4,2,0,1,1,0,3.6,3.3,0.9,4.1,6,5,44,0.18,0.18,0.37,0.18,0.37,0.33,0.08,0.41,0.3,0.38,Matches
24,Jordan Ayew,gh GHA,FW,Crystal Palace,26,1991,20,14,"1,181",13.1,1,2,3,1,0,0,3,0,2.9,2.9,1.2,4,31,19,90,0.08,0.15,0.23,0.08,0.23,0.22,0.09,0.31,0.22,0.31,Matches
25,Floyd Ayité,tg TOG,"FW,MF",Fulham,29,1988,16,3,476,5.3,1,0,1,1,0,0,0,0,0.4,0.4,0.5,0.9,14,23,44,0.19,0,0.19,0.19,0.19,0.07,0.1,0.17,0.07,0.17,Matches
26,César Azpilicueta,es ESP,DF,Chelsea,28,1989,38,38,"3,402",37.8,1,5,6,1,0,0,4,0,1.2,1.2,2.4,3.6,46,160,205,0.03,0.13,0.16,0.03,0.16,0.03,0.06,0.1,0.03,0.1,Matches
27,Ryan Babel,nl NED,"FW,MF",Fulham,31,1986,16,15,"1,251",13.9,5,3,8,5,0,0,3,0,5.7,5.7,2.2,7.9,42,40,109,0.36,0.22,0.58,0.36,0.58,0.41,0.16,0.57,0.41,0.57,Matches
28,Juninho Bacuna,cw CUW,"MF,DF",Huddersfield,20,1997,21,16,"1,412",15.7,1,0,1,1,0,0,4,0,0.7,0.7,1.4,2.1,24,95,30,0.06,0,0.06,0.06,0.06,0.04,0.09,0.14,0.04,0.14,Matches
29,Leandro Bacuna,cw CUW,MF,Cardiff City,26,1991,11,4,561,6.2,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,11,16,5,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
30,Eric Bailly,ci CIV,DF,Manchester Utd,24,1994,12,8,638,7.1,0,0,0,0,0,0,0,1,0.2,0.2,0,0.2,3,13,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
31,Leighton Baines,eng ENG,DF,Everton,33,1984,6,5,375,4.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,17,13,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07,Matches
32,Fabián Balbuena,py PAR,DF,West Ham,26,1991,23,23,"2,013",22.4,1,0,1,1,0,0,2,0,2.1,2.1,0.2,2.3,1,49,4,0.04,0,0.04,0.04,0.04,0.1,0.01,0.1,0.1,0.1,Matches
33,Leon Balogun,ng NGA,DF,Brighton,30,1988,8,5,594,6.6,1,0,1,1,0,0,2,0,0.1,0.1,0,0.1,1,6,1,0.15,0,0.15,0.15,0.15,0.01,0,0.01,0.01,0.01,Matches
34,Sol Bamba,ci CIV,DF,Cardiff City,33,1985,28,28,"2,474",27.5,4,1,5,4,0,0,7,0,4,4,0.2,4.1,6,48,2,0.15,0.04,0.18,0.15,0.18,0.14,0.01,0.15,0.14,0.15,Matches
35,Phil Bardsley,sct SCO,DF,Burnley,33,1985,19,19,"1,670",18.6,0,0,0,0,0,0,9,0,0.3,0.3,1.1,1.5,19,68,23,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08,Matches
36,Ross Barkley,eng ENG,MF,Chelsea,24,1993,27,13,"1,245",13.8,3,5,8,3,0,0,1,0,4,4,2.1,6.2,32,90,50,0.22,0.36,0.58,0.22,0.58,0.29,0.15,0.45,0.29,0.45,Matches
37,Ashley Barnes,eng ENG,FW,Burnley,28,1989,37,26,"2,388",26.5,12,2,14,10,2,2,8,0,13.8,12.2,3.3,15.5,23,41,142,0.45,0.08,0.53,0.38,0.45,0.52,0.12,0.64,0.46,0.58,Matches
38,Harvey Barnes,eng ENG,"MF,FW",Leicester City,20,1997,16,11,"1,004",11.2,1,2,3,1,0,0,0,0,3.9,3.9,1.7,5.6,62,27,115,0.09,0.18,0.27,0.09,0.27,0.35,0.15,0.51,0.35,0.51,Matches
39,Antonio Barreca,it ITA,DF,Newcastle Utd,23,1995,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
40,Michy Batshuayi,be BEL,FW,Crystal Palace,24,1993,11,9,750,8.3,5,0,5,5,0,0,0,0,4,4,0.1,4.1,13,9,44,0.6,0,0.6,0.6,0.6,0.48,0.01,0.49,0.48,0.49,Matches
41,Jan Bednarek,pl POL,DF,Southampton,22,1996,25,24,"2,151",23.9,0,1,1,0,0,0,7,0,0.8,0.8,0.7,1.5,7,68,2,0,0.04,0.04,0,0.04,0.03,0.03,0.06,0.03,0.06,Matches
42,Asmir Begović,ba BIH,GK,Bournemouth,31,1987,24,24,"2,160",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Héctor Bellerín,es ESP,DF,Arsenal,23,1995,19,18,"1,533",17,0,5,5,0,0,0,3,0,0.9,0.9,2.2,3.1,48,88,121,0,0.29,0.29,0,0.29,0.05,0.13,0.18,0.05,0.18,Matches
44,Joe Bennett,eng ENG,DF,Cardiff City,28,1990,30,30,"2,639",29.3,0,1,1,0,0,0,5,0,0.5,0.5,0.9,1.4,28,86,41,0,0.03,0.03,0,0.03,0.02,0.03,0.05,0.02,0.05,Matches
45,Ryan Bennett,eng ENG,DF,Wolves,28,1990,34,34,"3,060",34,1,0,1,1,0,0,12,0,1.3,1.3,1,2.2,14,92,10,0.03,0,0.03,0.03,0.03,0.04,0.03,0.07,0.04,0.07,Matches
